SHOA-COMBINED FULL LOG REPORT
============================
target_fitness=0.0
iterations_logged=132
stagnation_events_logged=21

ITERATION LOG
-------------
fn=M01.json | run=1 | iter=56 | fe=1708 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=57 | fe=1738 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=58 | fe=1768 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=59 | fe=1798 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=60 | fe=1828 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=61 | fe=1858 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=62 | fe=1888 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=63 | fe=1918 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=64 | fe=1948 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=65 | fe=1978 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=66 | fe=2008 | best=1.95514921e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=1 | fe=50 | best=1.75906373e+05 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=1
fn=M01.json | run=2 | iter=2 | fe=80 | best=1.75906373e+05 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=1
fn=M01.json | run=2 | iter=3 | fe=110 | best=1.54862317e+05 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=4 | fe=140 | best=3.95570309e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=5 | fe=170 | best=3.95570309e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=6 | fe=200 | best=3.95570309e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=7 | fe=232 | best=3.95570309e+04 | stagnated=1 | event=stagnation_start | lime_triggered=1 | diag=1 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature=distance_to_elite | restart_feature_score=0.2985 | restart_count=2 | warmup_active=0
fn=M01.json | run=2 | iter=8 | fe=262 | best=3.95517537e+04 | stagnated=0 | event=recovered | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=9 | fe=292 | best=3.95517537e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=10 | fe=322 | best=3.95517537e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=11 | fe=354 | best=3.95517537e+04 | stagnated=1 | event=stagnation_start | lime_triggered=1 | diag=2 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature=distance_to_elite | restart_feature_score=0.1921 | restart_count=2 | warmup_active=0
fn=M01.json | run=2 | iter=12 | fe=384 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=13 | fe=414 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=14 | fe=444 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=15 | fe=474 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=16 | fe=504 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=17 | fe=534 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=18 | fe=564 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=19 | fe=594 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=20 | fe=624 | best=3.95517537e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
