SHOA-COMBINED FULL LOG REPORT
============================
target_fitness=0.0
iterations_logged=132
stagnation_events_logged=18

ITERATION LOG
-------------
fn=M01.json | run=1 | iter=38 | fe=1162 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=39 | fe=1192 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=40 | fe=1222 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=41 | fe=1252 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=42 | fe=1282 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=43 | fe=1312 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=44 | fe=1342 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=45 | fe=1372 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=46 | fe=1402 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=47 | fe=1432 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=48 | fe=1462 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=49 | fe=1492 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=50 | fe=1522 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=51 | fe=1552 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=52 | fe=1582 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=53 | fe=1612 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=54 | fe=1642 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=55 | fe=1672 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=56 | fe=1702 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=57 | fe=1732 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=58 | fe=1762 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=59 | fe=1792 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=60 | fe=1822 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=61 | fe=1852 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=62 | fe=1882 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=63 | fe=1912 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=64 | fe=1942 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=65 | fe=1972 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=1 | iter=66 | fe=2002 | best=5.49270522e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=1 | fe=50 | best=6.65481152e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=1
fn=M01.json | run=2 | iter=2 | fe=80 | best=6.65481152e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=1
fn=M01.json | run=2 | iter=3 | fe=110 | best=6.65481152e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=4 | fe=142 | best=6.65481152e+04 | stagnated=1 | event=stagnation_start | lime_triggered=0 | diag=0 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature= | restart_feature_score=0.0000 | restart_count=2 | warmup_active=0
fn=M01.json | run=2 | iter=5 | fe=172 | best=6.65481152e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=6 | fe=202 | best=6.65481152e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=7 | fe=232 | best=6.65481152e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=8 | fe=262 | best=6.65481152e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=9 | fe=292 | best=6.65481152e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=10 | fe=322 | best=5.08152336e+04 | stagnated=0 | event=recovered | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=11 | fe=352 | best=5.08152336e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=12 | fe=382 | best=5.08152336e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=13 | fe=414 | best=5.08152336e+04 | stagnated=1 | event=stagnation_start | lime_triggered=1 | diag=1 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature=r1 | restart_feature_score=0.2727 | restart_count=2 | warmup_active=0
fn=M01.json | run=2 | iter=14 | fe=444 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=15 | fe=474 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=16 | fe=504 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=17 | fe=534 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=18 | fe=564 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=19 | fe=594 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=20 | fe=624 | best=5.08152336e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=21 | fe=654 | best=4.07949199e+04 | stagnated=0 | event=recovered | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=22 | fe=684 | best=4.07949199e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=23 | fe=714 | best=4.07949199e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=M01.json | run=2 | iter=24 | fe=746 | best=4.07949199e+04 | stagnated=1 | event=stagnation_start | lime_triggered=1 | diag=2 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature=distance_to_elite | restart_feature_score=0.3567 | restart_count=2 | warmup_active=0
fn=M01.json | run=2 | iter=25 | fe=776 | best=3.58616714e+04 | stagnated=0 | event=recovered | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
